_id,MSC,ZAWODNIK,KLUB,SREDNIA,PKT,BON,BIEGI,P3,P2,P1,P0,D,W,U,T,ZW,DOM,WYJAZD,TORA,TORB,TORC,TORD,KLASYFIKOWANY?,mecze,SST,SDY,STARTPLUS,STARTMINUS,STARTBILANS,DYSTPLUS,DYSTMINUS,DYSTBILANS,D-W,%POJ,srednia 2022,roznica 23-22,empty_AK,empty_AL,empty_AM,empty_AN,empty_AO,empty_AP,empty_AQ,id
661d8faa3fbc5e0ca141112a,2,Emil Sayfutdinov,Toruń,2.443,252,7,106,64,25,10,7,0,2,0,0,0.60377358490566,2.68,2.23214285714286,2.73913043478261,2.48,2.21428571428571,2.4,1,20,0.724137931034483,0.160714285714286,147,56,91,30,21,9,0.447857142857143,0.766355140186916,,,0.669811320754717,,,,,,2.448,89
661d8faa3fbc5e0ca141112b,1,Bartosz Zmarzlik,Lublin,2.526,237,8,97,59,25,10,3,0,1,0,0,0.608247422680412,2.51020408163265,2.54166666666667,2.6,2.31818181818182,2.64,2.52,1,20,0.668421052631579,0.380952380952381,127,63,64,34,10,24,-0.0314625850340136,0.790816326530612,2.679,-0.153,0.639175257731959,,,,,,2.679,95
661d8faa3fbc5e0ca141112c,5,Leon Madsen,Częstochowa,2.25,218,16,104,42,37,18,7,0,1,0,0,0.403846153846154,2.37735849056604,2.11764705882353,2.31034482758621,2.04166666666667,2.18518518518519,2.45833333333333,1,20,0.551724137931034,0.296703296703297,112,91,21,44,17,27,0.259711431742508,0.692307692307692,2.275,-0.0249999999999999,0.471153846153846,,,,,,2.27,30
661d8faa3fbc5e0ca141112d,3,Janusz Kołodziej,Leszno,2.333,155,6,69,37,17,10,5,0,0,0,0,0.536231884057971,2.60606060606061,2.08333333333333,2.23076923076923,2.26666666666667,2.25,2.58823529411765,1,14,0.635036496350365,0.26,87,50,37,34,21,13,0.522727272727272,0.731884057971015,2.427,-0.0939999999999999,0.608695652173913,,,,,,2.427,333
661d8faa3fbc5e0ca141112e,6,Artem Laguta,Wrocław,2.242,201,12,95,48,20,17,10,1,1,1,1,0.505263157894737,2.18181818181818,2.29411764705882,2.70833333333333,2.15384615384615,1.88461538461538,2.26315789473684,1,20,0.684782608695652,0.206896551724138,126,58,68,23,11,12,-0.112299465240642,0.73015873015873,,,0.610526315789474,,,,,,2.229,222
661d8faa3fbc5e0ca141112f,8,Anders Thomsen,Gorzów,2.155,145,8,71,29,23,12,7,0,3,0,0,0.408450704225352,2.16666666666667,2.14285714285714,2.55555555555556,1.93333333333333,2.125,2,1,14,0.592592592592593,0.181818181818182,80,55,25,26,16,10,0.0238095238095237,0.645390070921986,2.046,0.109,0.507042253521127,,,,,,2.14,5
661d8faa3fbc5e0ca1411130,7,Dominik Kubera,Lublin,2.197,133,12,66,29,15,16,6,0,0,0,0,0.439393939393939,2.12121212121212,2.27272727272727,2.3125,1.8125,2.13333333333333,2.47368421052632,1,14,0.71875,0,92,36,56,15,15,0,-0.151515151515152,0.729323308270677,2.14,0.0569999999999999,0.53030303030303,,,,,,2.198,415
661d8faa3fbc5e0ca1411131,10,Jack Holder,Lublin,2.08,142,14,75,28,22,14,11,0,0,0,0,0.373333333333333,2.13953488372093,2,2.16666666666667,2.26315789473684,1.78947368421053,2.10526315789474,1,16,0.662162162162162,-0.0204081632653061,98,50,48,12,14,-2,0.13953488372093,0.653333333333333,1.602,0.478,0.52,,,,,,2.046,25
661d8faa3fbc5e0ca1411132,9,Daniel Bewley,Wrocław,2.122,192,16,98,38,29,20,11,0,0,0,0,0.387755102040816,2.3125,1.94,2.34615384615385,1.92,1.6875,2.32258064516129,1,20,0.57948717948718,0.170731707317073,113,82,31,38,24,14,0.3725,0.653061224489796,1.837,0.285,0.5,,,,,,2.128,99
661d8faa3fbc5e0ca1411133,12,Max Fricke,Grudziądz,2.0,134,8,71,26,21,14,10,2,0,1,0,0.366197183098592,1.97142857142857,2.02777777777778,2,2.35294117647059,1.92307692307692,1.75,1,14,0.576642335766423,0.0689655172413793,79,58,21,15,11,4,-0.0563492063492061,0.595744680851064,,,0.507042253521127,,,,,,2,46
661d8faa3fbc5e0ca1411134,11,Fredrik Lindgren,Lublin,2.052,168,31,97,25,32,29,11,2,2,0,0,0.257731958762887,2.34,1.74468085106383,2.52,1.8,1.85185185185185,2.05,1,20,0.558510638297872,0.228915662650602,105,83,22,31,12,19,0.59531914893617,0.649484536082474,1.955,0.097,0.371134020618557,,,,,,2.02,66
661d8faa3fbc5e0ca1411135,13,Jason Doyle,Krosno,1.987,145,6,76,24,28,17,7,1,2,1,0,0.315789473684211,2.19444444444444,1.8,2,1.9,2.21428571428571,1.88235294117647,1,14,0.591549295774648,-0.0119047619047619,84,58,26,14,15,-1,0.394444444444445,0.56953642384106,1.952,0.0350000000000001,0.407894736842105,,,,,,1.975,69
